Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
416,3.0,0.0,0.7305,0.0,0.0,1915.0,1009.0,4.28
417,3.0,0.0,0.7515,0.0,0.0,1912.0,1008.0,4.07
418,3.0,0.0,0.7813,0.0,0.0,1908.0,1005.0,4.09
419,3.0,0.0,0.7887,1.0,0.0,1906.0,1006.0,4.09
420,3.0,0.0,0.8036,1.0,0.0,1904.0,1000.0,4.27
421,3.0,0.0,0.8363,1.0,0.0,1905.0,997.0,3.91
422,3.0,0.0,0.8127,1.0,0.0,1905.0,1007.0,3.83
423,3.0,0.0,0.8424,1.0,0.0,1906.0,1013.0,3.23
424,3.0,0.0,0.8311,1.0,0.0,1906.0,1006.0,3.27
425,3.0,0.0,0.808,2.0,0.0,1907.0,996.0,3.53
426,3.0,0.0,0.7833,6.0,0.0,1908.0,984.0,3.63
427,3.0,0.0,0.7675,5.0,0.0,1905.0,988.0,3.73
428,3.0,0.0,0.7775,21.0,0.0,1902.0,981.0,3.51
429,3.0,0.0,0.7983,22.0,0.0,1896.0,979.0,3.59
430,3.0,0.0,0.787,15.0,0.0,1896.0,958.0,3.52
431,3.0,0.0,0.8088,27.0,0.0,1898.0,953.0,3.17
432,3.0,0.0,0.7847,23.0,0.0,1903.0,947.0,3.47
433,3.0,0.0,0.7321,52.0,0.0,1899.0,951.0,3.13
434,3.0,0.0,0.3759,26.0,0.0,1912.0,1021.0,3.12
435,3.0,0.0,0.5209,18.0,0.0,1914.0,1024.0,3.55
436,3.0,0.0,0.5472,67.0,33.0,1915.0,1026.0,2.79
437,3.0,0.0,0.5539,74.0,41.0,1916.0,1014.0,2.7
438,3.0,0.0,0.4415,55.0,20.0,1912.0,1001.0,2.96
439,3.0,0.0,0.4399,36.0,7.0,1906.0,1015.0,2.89
440,3.0,0.0,0.1116,14.0,2.0,1912.0,1058.0,3.37
441,3.0,0.0,0.1864,31.0,0.0,1874.0,985.0,3.76
442,3.0,0.0,0.4302,12.0,0.0,1661.0,919.0,4.11
443,3.0,0.0,0.3418,6.0,0.0,1638.0,891.0,3.56
444,3.0,0.0,0.4246,6.0,0.0,1646.0,832.0,3.66
445,3.0,0.0,0.5313,4.0,0.0,1594.0,823.0,3.62
446,3.0,0.0,0.3703,10.0,0.0,1731.0,817.0,3.89
447,3.0,0.0,0.4214,8.0,0.0,1575.0,845.0,3.56
448,3.0,0.0,0.5395,3.0,0.0,1496.0,866.0,3.93
449,3.0,0.0,0.52,10.0,1.0,1444.0,858.0,3.68
450,3.0,0.0,0.2767,11.0,0.0,1484.0,859.0,3.58
451,3.0,0.0,0.3095,22.0,17.0,1505.0,862.0,3.41
452,3.0,0.0,0.3442,28.0,6.0,1584.0,872.0,3.71
453,3.0,0.0,0.491,11.0,2.0,1592.0,859.0,3.26
454,3.0,0.0,0.1116,23.0,14.0,1572.0,842.0,3.3
455,3.0,0.0,0.2952,10.0,5.0,1543.0,854.0,3.55
456,,,,,,,,3.16
457,,,,,,,,3.69
458,,,,,,,,3.87
459,,,,,,,,3.7
460,,,,,,,,3.68
461,,,,,,,,2.91
462,,,,,,,,2.7
463,3.0,0.0,0.5428,0.0,0.0,1165.0,871.0,3.59
464,3.0,0.0,0.1696,0.0,0.0,1106.0,848.0,3.64
465,3.0,0.0,0.2274,0.0,0.0,1091.0,834.0,4.0
466,,,,,,,,4.05
467,,,,,,,,3.92
468,,,,,,,,3.94
469,,,,,,,,3.86
470,3.0,0.0,0.5423,0.0,0.0,1486.0,988.0,3.61
471,3.0,0.0,0.3333,0.0,0.0,1538.0,937.0,3.37
472,3.0,0.0,0.4921,3.0,0.0,1773.0,1033.0,3.54
473,3.0,0.0,0.4428,5.0,0.0,1869.0,1066.0,2.39
474,3.0,0.0,0.283,7.0,0.0,1910.0,1064.0,2.55
475,3.0,0.0,0.1075,9.0,0.0,1920.0,1074.0,4.11
476,,,,,,,,4.29
477,,,,,,,,4.55
478,,,,,,,,4.52
479,,,,,,,,4.63
480,,,,,,,,4.62
481,3.0,0.0,0.3904,1.0,0.0,1691.0,967.0,3.67
482,3.0,0.0,0.7592,0.0,0.0,1552.0,889.0,3.98
483,3.0,0.0,0.5659,0.0,0.0,1493.0,867.0,3.43
484,3.0,0.0,0.7592,0.0,0.0,1443.0,870.0,3.37
485,3.0,0.0,0.7461,0.0,0.0,1417.0,880.0,3.45
486,3.0,0.0,0.6983,0.0,0.0,1386.0,894.0,3.76
487,3.0,0.0,0.6285,0.0,0.0,1370.0,912.0,3.75
488,3.0,0.0,0.7152,0.0,0.0,1355.0,926.0,3.56
489,3.0,0.0,0.6105,0.0,0.0,1376.0,896.0,3.67
490,3.0,0.0,0.3501,0.0,0.0,1713.0,913.0,3.55
491,3.0,0.0,0.2691,0.0,0.0,1839.0,935.0,3.08
492,3.0,0.0,0.4619,0.0,0.0,1902.0,954.0,3.28
493,3.0,0.0,0.4141,0.0,0.0,1920.0,938.0,3.14
